,r_pick1,r_pick2,r_pick3,r_pick4,r_pick5,d_pick5,d_pick4,d_pick3,d_pick2,d_pick1,r_ban7,r_ban6,r_ban5,r_ban4,r_ban3,r_ban2,r_ban1,d_ban7,d_ban6,d_ban5,d_ban4,d_ban3,d_ban2,d_ban1,match,tournament
77,Beastmaster,Elder Titan,Nyx Assassin,Tiny,Razor,Pangolier,Underlord,Ursa,Hoodwink,Enchantress,Invoker,Ember Spirit,Weaver,Brewmaster,Chaos Knight,Chen,Broodmother,Windranger,Templar Assassin,Jakiro,Sand King,Sven,Monkey King,Doom,Gaimin Gladiators vs Team Liquid,Riyadh Masters 2024 
78,Weaver,Brewmaster,Crystal Maiden,Alchemist,Dazzle,Snapfire,Ember Spirit,Disruptor,Troll Warlord,Sand King,Morphling,Rubick,Invoker,Jakiro,Sven,Monkey King,Doom,Shadow Fiend,Huskar,Chaos Knight,Ursa,Hoodwink,Enchantress,Chen,Gaimin Gladiators vs Team Liquid,Riyadh Masters 2024 
79,Snapfire,Brewmaster,Storm Spirit,Crystal Maiden,Broodmother,Dark Seer,Puck,Monkey King,Morphling,Elder Titan,Doom,Slardar,Troll Warlord,Jakiro,Sand King,Shadow Fiend,Beastmaster,Ursa,Faceless Void,Mars,Enigma,Phoenix,Tiny,Clockwerk,WBG.XG vs Aurora,Riyadh Masters 2024 
80,Snapfire,Morphling,Monkey King,Pangolier,Void Spirit,Invoker,Faceless Void,Venomancer,Hoodwink,Sand King,Puck,Doom,Dark Seer,Phoenix,Tiny,Beastmaster,Elder Titan,Enigma,Lycan,Slardar,Troll Warlord,Rubick,Jakiro,Shadow Fiend,WBG.XG vs Aurora,Riyadh Masters 2024 
81,Alchemist,Crystal Maiden,Troll Warlord,Centaur Warrunner,Slardar,Lifestealer,Doom,Weaver,Grimstroke,Sand King,Chaos Knight,Ursa,Hoodwink,Brewmaster,Broodmother,Phoenix,Beastmaster,Shadow Fiend,Puck,Snapfire,Sven,Enigma,Dark Seer,Monkey King,Entity vs BetBoom Team,Riyadh Masters 2024 
82,Snapfire,Tiny,Lion,Doom,Sven,Ember Spirit,Pangolier,Templar Assassin,Weaver,Elder Titan,Slardar,Underlord,Hoodwink,Storm Spirit,Enigma,Dark Seer,Monkey King,Windranger,Dragon Knight,Enchantress,Brewmaster,Sand King,Beastmaster,Broodmother,Entity vs BetBoom Team,Riyadh Masters 2024 
83,Weaver,Batrider,Doom,Sven,Shadow Fiend,Windranger,Pangolier,Chaos Knight,Jakiro,Hoodwink,Puck,Slardar,Elder Titan,Templar Assassin,Enigma,Dark Seer,Monkey King,Leshrac,Ember Spirit,Rubick,Brewmaster,Sand King,Beastmaster,Broodmother,Entity vs BetBoom Team,Riyadh Masters 2024 
84,Doom,Hoodwink,Morphling,Chen,Pangolier,Dark Seer,Chaos Knight,Rubick,Sand King,Snapfire,Storm Spirit,Puck,Terrorblade,Beastmaster,Monkey King,Shadow Fiend,Elder Titan,Ember Spirit,Leshrac,Sven,Batrider,Enigma,Tiny,Broodmother,WBG.XG vs BetBoom Team,Riyadh Masters 2024 
85,Snapfire,Spirit Breaker,Pangolier,Razor,Ursa,Primal Beast,Troll Warlord,Grimstroke,Sven,Sand King,Storm Spirit,Puck,Enigma,Hoodwink,Doom,Chen,Tiny,Gyrocopter,Faceless Void,Morphling,Monkey King,Beastmaster,Shadow Fiend,Elder Titan,WBG.XG vs BetBoom Team,Riyadh Masters 2024 
86,Sand King,Batrider,Elder Titan,Ursa,Shadow Fiend,Rubick,Marci,Dark Seer,Chen,Morphling,Invoker,Puck,Spirit Breaker,Sven,Tiny,Nyx Assassin,Monkey King,Pangolier,Primal Beast,Troll Warlord,Snapfire,Beastmaster,Doom,Broodmother,Tundra Esports vs BetBoom Team,Riyadh Masters 2024 
87,Sven,Rubick,Vengeful Spirit,Marci,Dragon Knight,Puck,Brewmaster,Troll Warlord,Batrider,Snapfire,Pangolier,Elder Titan,Tiny,Sand King,Beastmaster,Doom,Broodmother,Void Spirit,Weaver,Enigma,Morphling,Dark Seer,Nyx Assassin,Monkey King,Tundra Esports vs BetBoom Team,Riyadh Masters 2024 
88,Shadow Fiend,Elder Titan,Shadow Demon,Gyrocopter,Tidehunter,Dragon Knight,Dark Seer,Spirit Breaker,Jakiro,Sand King,Troll Warlord,Morphling,Vengeful Spirit,Sven,Snapfire,Nyx Assassin,Monkey King,Enigma,Centaur Warrunner,Tiny,Batrider,Beastmaster,Doom,Broodmother,Tundra Esports vs BetBoom Team,Riyadh Masters 2024 
89,Hoodwink,Tiny,Ursa,Dark Seer,Crystal Maiden,Batrider,Alchemist,Jakiro,Mars,Shadow Fiend,Clockwerk,Shadow Demon,Troll Warlord,Brewmaster,Primal Beast,Weaver,Monkey King,Nyx Assassin,Puck,Elder Titan,Sand King,Spirit Breaker,Beastmaster,Snapfire,Team Spirit vs LGD Gaming,Riyadh Masters 2024 
90,Clockwerk,Phoenix,Troll Warlord,Pangolier,Centaur Warrunner,Terrorblade,Doom,Elder Titan,Hoodwink,Tiny,Ursa,Morphling,Dark Seer,Beastmaster,Monkey King,Shadow Fiend,Snapfire,Brewmaster,Keeper of the Light,Timbersaw,Ember Spirit,Sand King,Primal Beast,Weaver,Team Spirit vs LGD Gaming,Riyadh Masters 2024 
91,Nyx Assassin,Phoenix,Mars,Morphling,Beastmaster,Void Spirit,Brewmaster,Hoodwink,Enigma,Broodmother,Storm Spirit,Puck,Snapfire,Spirit Breaker,Pangolier,Tiny,Primal Beast,Earth Spirit,Templar Assassin,Sand King,Invoker,Ember Spirit,Shadow Fiend,Monkey King,OG vs PSG Quest,Riyadh Masters 2024 
92,Jakiro,Puck,Sven,Dark Seer,Faceless Void,Ursa,Venomancer,Rubick,Pangolier,Invoker,Morphling,Troll Warlord,Hoodwink,Phoenix,Beastmaster,Shadow Fiend,Monkey King,Shadow Demon,Clockwerk,Broodmother,Nyx Assassin,Primal Beast,Enchantress,Snapfire,OG vs PSG Quest,Riyadh Masters 2024 
93,Snapfire,Hoodwink,Doom,Invoker,Morphling,Naga Siren,Batrider,Tiny,Beastmaster,Jakiro,Chaos Knight,Broodmother,Weaver,Enchantress,Dark Seer,Primal Beast,Pangolier,Gyrocopter,Clinkz,Ember Spirit,Phoenix,Nyx Assassin,Shadow Fiend,Monkey King,OG vs PSG Quest,Riyadh Masters 2024 
94,Tiny,Hoodwink,Sven,Tidehunter,Troll Warlord,Morphling,Void Spirit,Batrider,Brewmaster,Jakiro,Templar Assassin,Ursa,Rubick,Sand King,Beastmaster,Doom,Dark Seer,Enchantress,Shadow Demon,Weaver,Snapfire,Primal Beast,Shadow Fiend,Monkey King,Team Spirit vs PSG Quest,Riyadh Masters 2024 
95,Hoodwink,Sven,Doom,Clinkz,Zeus,Centaur Warrunner,Naga Siren,Grimstroke,Enchantress,Sand King,Brewmaster,Mars,Elder Titan,Beastmaster,Tiny,Snapfire,Dark Seer,Leshrac,Dazzle,Ember Spirit,Pangolier,Primal Beast,Shadow Fiend,Monkey King,Team Spirit vs PSG Quest,Riyadh Masters 2024 
96,Sand King,Hoodwink,Jakiro,Naga Siren,Pangolier,Brewmaster,Rubick,Troll Warlord,Elder Titan,Ember Spirit,Underlord,Tidehunter,Sven,Doom,Primal Beast,Shadow Fiend,Monkey King,Mars,Axe,Enchantress,Dark Seer,Snapfire,Beastmaster,Tiny,Team Spirit vs PSG Quest,Riyadh Masters 2024 
97,Primal Beast,Sven,Hoodwink,Windranger,Dark Seer,Oracle,Jakiro,Timbersaw,Weaver,Pangolier,Gyrocopter,Troll Warlord,Phoenix,Crystal Maiden,Shadow Demon,Dragon Knight,Monkey King,Doom,Enigma,Faceless Void,Snapfire,Sand King,Tiny,Naga Siren,Team Falcons vs PSG Quest,Riyadh Masters 2024 
98,Pangolier,Hoodwink,Crystal Maiden,Wraith King,Slark,Puck,Doom,Rubick,Weaver,Sven,Void Spirit,Dragon Knight,Earthshaker,Windranger,Primal Beast,Snapfire,Naga Siren,Mars,Centaur Warrunner,Phoenix,Monkey King,Timbersaw,Tiny,Sand King,Team Falcons vs PSG Quest,Riyadh Masters 2024 
99,Doom,Chen,Chaos Knight,Primal Beast,Windranger,Pangolier,Broodmother,Spirit Breaker,Jakiro,Beastmaster,Keeper of the Light,Puck,Sven,Vengeful Spirit,Snapfire,Rubick,Naga Siren,Shadow Demon,Hoodwink,Gyrocopter,Timbersaw,Weaver,Tiny,Sand King,Team Falcons vs PSG Quest,Riyadh Masters 2024 
100,Monkey King,Nyx Assassin,Jakiro,Faceless Void,Beastmaster,Chaos Knight,Slark,Pangolier,Snapfire,Weaver,Chen,Ursa,Huskar,Phoenix,Batrider,Doom,Timbersaw,Mars,Dark Seer,Rubick,Enigma,Morphling,Sven,Sand King,Tundra Esports vs Team Falcons,Riyadh Masters 2024 
101,Snapfire,Chen,Spirit Breaker,Dark Seer,Morphling,Centaur Warrunner,Phoenix,Gyrocopter,Dragon Knight,Hoodwink,Slark,Legion Commander,Primal Beast,Pangolier,Weaver,Doom,Timbersaw,Ursa,Chaos Knight,Templar Assassin,Monkey King,Sven,Rubick,Sand King,Tundra Esports vs Team Falcons,Riyadh Masters 2024 
102,Sand King,Jakiro,Ancient Apparition,Gyrocopter,Timbersaw,Pangolier,Beastmaster,Crystal Maiden,Morphling,Monkey King,Shadow Fiend,Templar Assassin,Oracle,Tiny,Sven,Doom,Brewmaster,Slark,Mars,Enchantress,Chen,Weaver,Hoodwink,Snapfire,Team Liquid vs Team Falcons,Riyadh Masters 2024 
103,Shadow Fiend,Jakiro,Brewmaster,Marci,Puck,Legion Commander,Troll Warlord,Batrider,Enchantress,Pangolier,Slardar,Mars,Chaos Knight,Hoodwink,Snapfire,Weaver,Doom,Io,Razor,Beastmaster,Elder Titan,Sven,Templar Assassin,Monkey King,Team Liquid vs Team Falcons,Riyadh Masters 2024 
104,Jakiro,Broodmother,Chen,Invoker,Beastmaster,Tidehunter,Crystal Maiden,Pangolier,Morphling,Monkey King,Ember Spirit,Puck,Sand King,Dark Seer,Doom,Sven,Templar Assassin,Ursa,Alchemist,Chaos Knight,Brewmaster,Weaver,Snapfire,Hoodwink,Gaimin Gladiators vs Team Liquid,Riyadh Masters 2024 
105,Brewmaster,Techies,Elder Titan,Monkey King,Sand King,Shadow Fiend,Invoker,Alchemist,Broodmother,Chen,Phoenix,Dazzle,Beastmaster,Chaos Knight,Enchantress,Snapfire,Hoodwink,Ember Spirit,Puck,Crystal Maiden,Weaver,Jakiro,Sven,Doom,Gaimin Gladiators vs Team Liquid,Riyadh Masters 2024 
106,Weaver,Chaos Knight,Enigma,Dark Seer,Sand King,Clockwerk,Rubick,Shadow Fiend,Beastmaster,Tiny,Windranger,Monkey King,Hoodwink,Crystal Maiden,Jakiro,Sven,Templar Assassin,Invoker,Pangolier,Underlord,Brewmaster,Broodmother,Enchantress,Chen,Gaimin Gladiators vs Team Liquid,Riyadh Masters 2024 
107,Bane,Marci,Razor,Slardar,Timbersaw,Centaur Warrunner,Terrorblade,Clockwerk,Primal Beast,Io,Viper,Zeus,Enigma,Leshrac,Pangolier,Disruptor,Keeper of the Light,Lifestealer,Puck,Windranger,Gyrocopter,Kunkka,Doom,Templar Assassin,HEROIC vs Team Liquid,DreamLeague Season 23 
108,Kunkka,Hoodwink,Mirana,Wraith King,Sniper,Primal Beast,Monkey King,Shadow Demon,Enchantress,Doom,Dragon Knight,Timbersaw,Bane,Lifestealer,Io,Templar Assassin,Slardar,Centaur Warrunner,Zeus,Clockwerk,Leshrac,Pangolier,Disruptor,Keeper of the Light,HEROIC vs Team Liquid,DreamLeague Season 23 
109,Dragon Knight,Hoodwink,Elder Titan,Luna,Doom,Clinkz,Dark Seer,Treant Protector,Batrider,Sniper,Razor,Gyrocopter,Bristleback,Enchantress,Pangolier,Chen,Io,Slardar,Brewmaster,Shadow Demon,Mirana,Disruptor,Zeus,Keeper of the Light,Gaimin Gladiators vs PSG Quest,DreamLeague Season 23 
110,Leshrac,Keeper of the Light,Underlord,Clinkz,Shadow Demon,Razor,Dark Seer,Hoodwink,Treant Protector,Gyrocopter,Zeus,Puck,Slardar,Disruptor,Pangolier,Io,Chen,Clockwerk,Oracle,Doom,Bristleback,Bane,Sniper,Enchantress,Gaimin Gladiators vs PSG Quest,DreamLeague Season 23 
111,Winter Wyvern,Treant Protector,Razor,Mars,Storm Spirit,Dark Seer,Zeus,Batrider,Gyrocopter,Marci,Brewmaster,Primal Beast,Timbersaw,Chen,Shadow Demon,Slardar,Disruptor,Anti-Mage,Faceless Void,Lifestealer,Doom,Centaur Warrunner,Bane,Bristleback,Aurora vs Xtreme Gaming,DreamLeague Season 23 
112,Centaur Warrunner,Enchantress,Dark Willow,Viper,Monkey King,Bristleback,Sniper,Clockwerk,Clinkz,Doom,Grimstroke,Morphling,Lifestealer,Marci,Slardar,Bane,Disruptor,Faceless Void,Anti-Mage,Hoodwink,Medusa,Razor,Shadow Demon,Chen,Aurora vs Xtreme Gaming,DreamLeague Season 23 
113,Doom,Earthshaker,Techies,Zeus,Chaos Knight,Underlord,Sniper,Abaddon,Hoodwink,Clinkz,Axe,Brewmaster,Clockwerk,Enchantress,Shadow Demon,Chen,Pangolier,Lifestealer,Faceless Void,Grimstroke,Slardar,Bane,Disruptor,Marci,Gaimin Gladiators vs Xtreme Gaming,DreamLeague Season 23 
114,Zeus,Shadow Demon,Centaur Warrunner,Grimstroke,Anti-Mage,Brewmaster,Bristleback,Batrider,Io,Sniper,Tidehunter,Underlord,Abaddon,Chen,Disruptor,Slardar,Pangolier,Weaver,Faceless Void,Clockwerk,Elder Titan,Bane,Doom,Marci,Gaimin Gladiators vs Xtreme Gaming,DreamLeague Season 23 
115,Pangolier,Hoodwink,Lina,Treant Protector,Kunkka,Zeus,Faceless Void,Crystal Maiden,Timbersaw,Marci,Magnus,Mars,Bloodseeker,Slardar,Disruptor,Chen,Io,Storm Spirit,Enigma,Weaver,Shadow Demon,Bane,Templar Assassin,Doom,Aurora vs Team Liquid,DreamLeague Season 23 
116,Luna,Crystal Maiden,Timbersaw,Batrider,Tidehunter,Keeper of the Light,Lifestealer,Nature's Prophet,Earthshaker,Slardar,Zeus,Pangolier,Hoodwink,Marci,Disruptor,Chen,Io,Storm Spirit,Enigma,Enchantress,Kunkka,Shadow Demon,Templar Assassin,Doom,Aurora vs Team Liquid,DreamLeague Season 23 
117,Io,Bristleback,Dragon Knight,Dark Willow,Centaur Warrunner,Razor,Leshrac,Slardar,Hoodwink,Chen,Chaos Knight,Lifestealer,Viper,Timbersaw,Pangolier,Keeper of the Light,Disruptor,Zeus,Sniper,Gyrocopter,Marci,Doom,Primal Beast,Kunkka,HEROIC vs PSG Quest,DreamLeague Season 23 
118,Slardar,Bane,Dark Willow,Weaver,Pudge,Dragon Knight,Gyrocopter,Batrider,Primal Beast,Io,Axe,Kunkka,Shadow Demon,Morphling,Chen,Pangolier,Disruptor,Sniper,Meepo,Hoodwink,Leshrac,Doom,Keeper of the Light,Timbersaw,HEROIC vs PSG Quest,DreamLeague Season 23 
119,Grimstroke,Batrider,Bristleback,Sniper,Bounty Hunter,Timbersaw,Lifestealer,Crystal Maiden,Hoodwink,Pangolier,Mars,Viper,Shadow Demon,Razor,Dragon Knight,Doom,Chen,Faceless Void,Enigma,Templar Assassin,Primal Beast,Bloodseeker,Slardar,Disruptor,Azure Ray vs Team Falcons,DreamLeague Season 23 
120,Doom,Elder Titan,Techies,Gyrocopter,Puck,Lina,Timbersaw,Crystal Maiden,Wraith King,Shadow Demon,Huskar,Mars,Enchantress,Centaur Warrunner,Razor,Pangolier,Dragon Knight,Keeper of the Light,Zeus,Clinkz,Kunkka,Slardar,Disruptor,Chen,Azure Ray vs Team Falcons,DreamLeague Season 23 
121,Centaur Warrunner,Grimstroke,Mirana,Naga Siren,Templar Assassin,Sniper,Bristleback,Techies,Kunkka,Shadow Demon,Meepo,Zeus,Morphling,Marci,Io,Disruptor,Chen,Keeper of the Light,Timbersaw,Lifestealer,Hoodwink,Enchantress,Pangolier,Razor,Shopify Rebellion vs Tundra Esports,DreamLeague Season 23 
122,Slardar,Techies,Nature's Prophet,Muerta,Huskar,Kunkka,Primal Beast,Dark Willow,Gyrocopter,Bane,Centaur Warrunner,Mars,Razor,Shadow Demon,Pangolier,Disruptor,Chen,Lifestealer,Luna,Hoodwink,Bristleback,Io,Morphling,Marci,Shopify Rebellion vs Tundra Esports,DreamLeague Season 23 
123,Razor,Clockwerk,Sven,Crystal Maiden,Queen of Pain,Storm Spirit,Morphling,Magnus,Hoodwink,Io,Leshrac,Pangolier,Weaver,Kunkka,Keeper of the Light,Disruptor,Chen,Earth Spirit,Zeus,Bounty Hunter,Marci,Doom,Slardar,Bristleback,BetBoom Team vs Natus Vincere,DreamLeague Season 23 
124,Pangolier,Bane,Oracle,Luna,Magnus,Razor,Beastmaster,Techies,Clockwerk,Keeper of the Light,Gyrocopter,Weaver,Bristleback,Doom,Io,Disruptor,Chen,Centaur Warrunner,Mars,Templar Assassin,Faceless Void,Shadow Demon,Enigma,Kunkka,BetBoom Team vs Natus Vincere,DreamLeague Season 23 
125,Io,Bane,Morphling,Sniper,Beastmaster,Gyrocopter,Ancient Apparition,Slardar,Hoodwink,Razor,Faceless Void,Chaos Knight,Tusk,Enchantress,Pangolier,Dragon Knight,Doom,Mars,Centaur Warrunner,Marci,Shadow Demon,Techies,Disruptor,Chen,Team Falcons vs Tundra Esports,DreamLeague Season 23 
126,Slardar,Bane,Muerta,Luna,Puck,Lina,Tusk,Naga Siren,Pangolier,Crystal Maiden,Huskar,Viper,Timbersaw,Gyrocopter,Razor,Dragon Knight,Doom,Magnus,Brewmaster,Bloodseeker,Techies,Shadow Demon,Disruptor,Chen,Team Falcons vs Tundra Esports,DreamLeague Season 23 
127,Keeper of the Light,Rubick,Clockwerk,Night Stalker,Gyrocopter,Viper,Clinkz,Storm Spirit,Tiny,Oracle,Razor,Centaur Warrunner,Templar Assassin,Bristleback,Kunkka,Slardar,Batrider,Morphling,Anti-Mage,Shadow Demon,Io,Doom,Chen,Disruptor,Azure Ray vs BetBoom Team,DreamLeague Season 23 
128,Treant Protector,Grimstroke,Gyrocopter,Primal Beast,Enigma,Centaur Warrunner,Morphling,Pugna,Dragon Knight,Bane,Kunkka,Monkey King,Keeper of the Light,Io,Doom,Disruptor,Chen,Lycan,Broodmother,Clinkz,Bristleback,Shadow Demon,Slardar,Batrider,Azure Ray vs BetBoom Team,DreamLeague Season 23 
129,Razor,Crystal Maiden,Tiny,Lone Druid,Zeus,Keeper of the Light,Faceless Void,Grimstroke,Enchantress,Slardar,Primal Beast,Templar Assassin,Weaver,Hoodwink,Shadow Demon,Pangolier,Kunkka,Windranger,Naga Siren,Marci,Doom,Chen,Disruptor,Io,Natus Vincere vs Shopify Rebellion,DreamLeague Season 23 
130,Centaur Warrunner,Hoodwink,Crystal Maiden,Templar Assassin,Earth Spirit,Sniper,Bristleback,Enchantress,Dark Willow,Slardar,Kunkka,Dragon Knight,Naga Siren,Shadow Demon,Pangolier,Disruptor,Chen,Keeper of the Light,Viper,Razor,Windranger,Gyrocopter,Io,Doom,Natus Vincere vs Shopify Rebellion,DreamLeague Season 23 
131,Shadow Demon,Enchantress,Lifestealer,Dragon Knight,Brewmaster,Faceless Void,Razor,Hoodwink,Centaur Warrunner,Disruptor,Viper,Clinkz,Pangolier,Sniper,Bane,Marci,Slardar,Zeus,Puck,Bristleback,Kunkka,Oracle,Templar Assassin,Doom,Team Liquid vs Xtreme Gaming,DreamLeague Season 23 
132,Disruptor,Timbersaw,Nyx Assassin,Drow Ranger,Storm Spirit,Tiny,Tusk,Windranger,Bristleback,Oracle,Puck,Zeus,Monkey King,Dragon Knight,Shadow Demon,Doom,Templar Assassin,Pangolier,Viper,Faceless Void,Sniper,Bane,Marci,Slardar,Team Liquid vs Xtreme Gaming,DreamLeague Season 23 
133,Pangolier,Rubick,Venomancer,Doom,Meepo,Centaur Warrunner,Lifestealer,Razor,Marci,Disruptor,Sniper,Shadow Fiend,Templar Assassin,Timbersaw,Slardar,Io,Chen,Bristleback,Morphling,Enchantress,Shadow Demon,Kunkka,Primal Beast,Gyrocopter,Aurora vs PSG Quest,DreamLeague Season 23 
134,Doom,Gyrocopter,Techies,Keeper of the Light,Windranger,Centaur Warrunner,Hoodwink,Monkey King,Crystal Maiden,Pangolier,Brewmaster,Puck,Enigma,Templar Assassin,Bane,Timbersaw,Razor,Lifestealer,Faceless Void,Primal Beast,Disruptor,Slardar,Chen,Io,Aurora vs PSG Quest,DreamLeague Season 23 
135,Sniper,Hoodwink,Bristleback,Witch Doctor,Omniknight,Alchemist,Primal Beast,Dark Willow,Timbersaw,Bane,Lifestealer,Faceless Void,Zeus,Slardar,Pangolier,Disruptor,Keeper of the Light,Doom,Brewmaster,Clinkz,Clockwerk,Io,Enchantress,Chen,Gaimin Gladiators vs HEROIC,DreamLeague Season 23 
136,Pangolier,Shadow Demon,Rubick,Brewmaster,Templar Assassin,Bristleback,Marci,Razor,Disruptor,Primal Beast,Weaver,Lifestealer,Dark Willow,Grimstroke,Bloodseeker,Bane,Keeper of the Light,Clinkz,Chaos Knight,Clockwerk,Io,Slardar,Enchantress,Chen,Gaimin Gladiators vs HEROIC,DreamLeague Season 23 
137,Slardar,Crystal Maiden,Doom,Lifestealer,Puck,Medusa,Rubick,Centaur Warrunner,Templar Assassin,Shadow Demon,Timbersaw,Keeper of the Light,Dragon Knight,Leshrac,Disruptor,Pangolier,Sniper,Hoodwink,Dark Willow,Brewmaster,Enchantress,Bane,Io,Chen,Gaimin Gladiators vs Team Liquid,DreamLeague Season 23 
138,Slardar,Clockwerk,Clinkz,Leshrac,Dark Seer,Viper,Dragon Knight,Terrorblade,Enchantress,Bane,Brewmaster,Keeper of the Light,Luna,Windranger,Disruptor,Templar Assassin,Doom,Crystal Maiden,Shadow Demon,Bristleback,Sniper,Io,Chen,Pangolier,Gaimin Gladiators vs Team Liquid,DreamLeague Season 23 
139,Shadow Demon,Disruptor,Viper,Luna,Brewmaster,Morphling,Lina,Hoodwink,Enchantress,Slardar,Phantom Lancer,Meepo,Lifestealer,Io,Chen,Keeper of the Light,Doom,Pangolier,Centaur Warrunner,Venomancer,Timbersaw,Gyrocopter,Sniper,Bane,PSG Quest vs Xtreme Gaming,DreamLeague Season 23 
140,Disruptor,Razor,Tiny,Enigma,Storm Spirit,Centaur Warrunner,Gyrocopter,Marci,Io,Pangolier,Primal Beast,Brewmaster,Faceless Void,Chen,Slardar,Keeper of the Light,Doom,Lifestealer,Morphling,Bristleback,Viper,Bloodseeker,Sniper,Bane,PSG Quest vs Xtreme Gaming,DreamLeague Season 23 
141,Leshrac,Chen,Marci,Keeper of the Light,Sven,Storm Spirit,Bristleback,Earthshaker,Io,Sniper,Anti-Mage,Doom,Hoodwink,Centaur Warrunner,Shadow Demon,Razor,Timbersaw,Weaver,Faceless Void,Lifestealer,Pangolier,Slardar,Bane,Disruptor,Aurora vs HEROIC,DreamLeague Season 23 
142,Timbersaw,Shadow Demon,Earthshaker,Morphling,Tidehunter,Leshrac,Faceless Void,Magnus,Hoodwink,Gyrocopter,Viper,Zeus,Lion,Doom,Weaver,Bane,Primal Beast,Storm Spirit,Centaur Warrunner,Razor,Slardar,Pangolier,Io,Disruptor,Aurora vs HEROIC,DreamLeague Season 23 
143,Dragon Knight,Bane,Mirana,Kunkka,Luna,Leshrac,Io,Enigma,Gyrocopter,Slardar,Sniper,Huskar,Hoodwink,Clinkz,Timbersaw,Pangolier,Razor,Troll Warlord,Windranger,Viper,Doom,Shadow Demon,Disruptor,Chen,BetBoom Team vs Team Falcons,DreamLeague Season 23 
144,Timbersaw,Gyrocopter,Batrider,Abaddon,Lina,Bristleback,Viper,Bane,Hoodwink,Slardar,Clinkz,Weaver,Io,Doom,Dragon Knight,Razor,Chen,Sniper,Keeper of the Light,Crystal Maiden,Shadow Demon,Windranger,Enigma,Disruptor,BetBoom Team vs Team Falcons,DreamLeague Season 23 
145,Shadow Demon,Kunkka,Venomancer,Enigma,Luna,Zeus,Hoodwink,Lifestealer,Disruptor,Doom,Sniper,Storm Spirit,Io,Grimstroke,Centaur Warrunner,Slardar,Gyrocopter,Medusa,Clinkz,Razor,Keeper of the Light,Pangolier,Enchantress,Chen,Azure Ray vs Shopify Rebellion,DreamLeague Season 23 
146,Shadow Demon,Batrider,Timbersaw,Faceless Void,Death Prophet,Lina,Weaver,Mars,Clockwerk,Hoodwink,Puck,Enigma,Zeus,Centaur Warrunner,Keeper of the Light,Pangolier,Enchantress,Dragon Knight,Storm Spirit,Lifestealer,Doom,Slardar,Disruptor,Chen,Azure Ray vs Shopify Rebellion,DreamLeague Season 23 
147,Centaur Warrunner,Techies,Sniper,Vengeful Spirit,Pudge,Beastmaster,Earth Spirit,Batrider,Templar Assassin,Shadow Demon,Brewmaster,Lycan,Mars,Doom,Io,Disruptor,Chen,Clinkz,Monkey King,Luna,Hoodwink,Slardar,Morphling,Kunkka,Natus Vincere vs Tundra Esports,DreamLeague Season 23 
148,Brewmaster,Techies,Crystal Maiden,Zeus,Weaver,Pudge,Lifestealer,Enchantress,Slardar,Shadow Demon,Pangolier,Puck,Bristleback,Morphling,Kunkka,Disruptor,Chen,Razor,Troll Warlord,Hoodwink,Templar Assassin,Centaur Warrunner,Io,Doom,Natus Vincere vs Tundra Esports,DreamLeague Season 23 
149,Keeper of the Light,Clockwerk,Morphling,Hoodwink,Beastmaster,Lifestealer,Faceless Void,Mirana,Techies,Slardar,Drow Ranger,Phantom Lancer,Enchantress,Shadow Demon,Io,Disruptor,Chen,Enigma,Centaur Warrunner,Bane,Gyrocopter,Dragon Knight,Timbersaw,Doom,BetBoom Team vs Tundra Esports,DreamLeague Season 23 
150,Razor,Marci,Centaur Warrunner,Rubick,Lifestealer,Pangolier,Visage,Tiny,Weaver,Io,Storm Spirit,Keeper of the Light,Gyrocopter,Shadow Demon,Doom,Disruptor,Chen,Dragon Knight,Sniper,Kunkka,Clockwerk,Nature's Prophet,Techies,Slardar,BetBoom Team vs Tundra Esports,DreamLeague Season 23 
151,Hoodwink,Bane,Centaur Warrunner,Weaver,Dragon Knight,Clinkz,Mars,Enchantress,Tusk,Pangolier,Sven,Lifestealer,Shadow Demon,Doom,Slardar,Razor,Chen,Timbersaw,Puck,Primal Beast,Templar Assassin,Bloodseeker,Kunkka,Disruptor,Shopify Rebellion vs Team Falcons,DreamLeague Season 23 
152,Hoodwink,Centaur Warrunner,Venomancer,Luna,Death Prophet,Sniper,Windranger,Timbersaw,Bane,Dragon Knight,Puck,Lina,Shadow Demon,Lifestealer,Slardar,Doom,Razor,Zeus,Keeper of the Light,Templar Assassin,Viper,Kunkka,Disruptor,Chen,Shopify Rebellion vs Team Falcons,DreamLeague Season 23 
153,Centaur Warrunner,Techies,Enchantress,Faceless Void,Timbersaw,Beastmaster,Treant Protector,Clinkz,Razor,Hoodwink,Dragon Knight,Doom,Bristleback,Lifestealer,Templar Assassin,Slardar,Kunkka,Zeus,Keeper of the Light,Morphling,Shadow Demon,Disruptor,Chen,Io,Azure Ray vs Natus Vincere,DreamLeague Season 23 
154,Doom,Techies,Lion,Sven,Timbersaw,Clinkz,Sniper,Undying,Hoodwink,Centaur Warrunner,Razor,Medusa,Keeper of the Light,Disruptor,Shadow Demon,Io,Chen,Storm Spirit,Zeus,Lifestealer,Bristleback,Templar Assassin,Slardar,Kunkka,Azure Ray vs Natus Vincere,DreamLeague Season 23 
